Client Order ID,Instrument,Side,Price,Quantity
clID1000,Rose,2,10,30
,Rose,2,10,30
clID3_,Rose,2,10,30
clID4+,Rose,2,10,30
clID500+,Rose,2,10,30
clID5,,2,10,30
clID6,Sunflower,2,10,30
clID7,Rose1,2,10,30
clID8, Rose,2,10,30
clID9,rose,2,10,30
clID10,Rose,,10,30
clID11,Rose,0,10,30
clID12,Rose,3,10,30
clID13,Rose,1.5,10,30
clID14,Rose,"1,2",10,30
clID15,Rose,"1,3",10,30
clID16,Rose,1,,30
clID17,Rose,1,0,30
clID18,Rose,1,0,30
clID19,Rose,1,0.1,30
clID20,Rose,1,-0.1,30
clID21,Rose,1,10,
clID22,Rose,1,10,0
clID23,Rose,1,10,-100
clID24,Rose,1,10,21
clID25,Rose,1,10,100000
